title,price,brand,colortitle,sizes
Jane Shearling Loafer,"Rs. 43,400.00",ODISSI,Tan,"36,37,38,39,40"
Ona Ave™ Loafer,"Rs. 11,900.00",SOREL,Honey White/Sea Salt,"6,6.5,7,7.5,8,8.5,9,9.5,10"
aSMC Ultraboost 5,"Rs. 20,100.00",ADIDAS BY STELLA MCCARTNEY,Tacgrn/Learonix/Trapur,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Nike Air Max 270,"Rs. 14,700.00",NIKE,WHITE/BLACK-WHITE,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
aSMC SPORTSWEAR low ground,"Rs. 22,900.00",ADIDAS BY STELLA MCCARTNEY,Ftwwht/Ftwwht/Owhite,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Mondo 2.0 Ripple,"Rs. 21,000.00",FILLING PIECES,Nappa White,"36,37,38,39"
Lou Ballet Flat,"Rs. 32,000.00",ODISSI,Light Gold,"36,37,38,39,40"
Thekla Black Leather Ballet Flat,"Rs. 17,400.00",ALOHAS,Black,"36,37,38,39,40"
Augusta Ballet Flat,"Rs. 43,400.00",MARIA LUCA,Medium Red,"36,37,38,39,40"
Augusta Teddy Ballet Flat,"Rs. 43,400.00",MARIA LUCA,Chocolate,"36,37,38,39,40"
Clara Icon,"Rs. 54,400.00",MONTELLIANA,Black,"6,6.5,7,7.5,8,8.5,9"
Giada Icon,"Rs. 54,400.00",MONTELLIANA,Black Drop Print Brio,"6,6.5,7,7.5,8,8.5"
Ella Bootie,"Rs. 43,400.00",ODISSI,Raw,"36,37,38,39,40"
