title,price,brand,colortitle,sizes,imageurl
Ribbed 7/8 Legging,"Rs. 8,400.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-W378-CARIB-23HOL-Ribbed7_8Legging-color-Caribou_25679-Edit.jpg?v=1709322258&width=400
V-Neck Longline Bra,"Rs. 6,900.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD278-NUDE-23HOL-V-Neck-Longline-Bra-color-Silversage_26217.jpg?v=1701969917&width=400
Short Sleeve Pocket Tee,"Rs. 7,200.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD638A-BLK-23SS-Short-Sleeve-Pocket-Tee-color-Black_0070.jpg?v=1682452550&width=400
High Rise Legging in Melt,"Rs. 8,400.00",CARBON38,Lavender Blue,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-YD165-PRPL-22FAL-BasicLeggingWithBrandedTaping-color-Lavender-Blue.jpg?v=1668800905&width=400
Ribbed Cami Bra,"Rs. 6,900.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/products/CARB-W158-BLKBLK-ribbed-cami-bra-Color-BLACK_4335.jpg?v=1677716790&width=400
SLEEVELESS MOCK NECK TOP IN MELT,"Rs. 10,800.00",CARBON38,BLACK,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD6004-WHT-23SS-SLEEVELESS-MOCK-NECK-TOP-color-WHITE_15882.jpg?v=1700615453&width=400
Criss Cross Bra in Crocodile Takara Shine,"Rs. 6,900.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB19128-SNABLK-criss-cross-bra-in-crocodile-takara-shine-color-Black-Crocodile_2353.jpg?v=1685140256&width=400
Short Sleeve Pocket Tee,"Rs. 6,100.00",CARBON38,Pickled Beet,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD638A-PICKLED-BEET-23SS-Short-Sleeve-Pocket-Tee-color-PICKLED-BEET_0054.jpg?v=1682455621&width=400
Cut Out Scoop Bra in Diamond Compression,"Rs. 6,900.00",CARBON38,Olive,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-CRB22037-OLVE-22HOL-CutOutScoopBrain-DiamondCompression-color-CORE-OLIVE9875.jpg?v=1677725562&width=400
Front Twist Tank,"Rs. 6,300.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD6053-WHT-23SM-Front-Twist-Tank-color-White_25410.jpg?v=1700078579&width=400
Ribbed Cami Bra,"Rs. 6,900.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/products/CARB-W158-WHIWHI-ribbed-cami-bra-Color-WHITE_0761.jpg?v=1675467202&width=400
Split Bootcut Sweatpant,"Rs. 11,600.00",CARBON38,Heather Grey,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD831-GREY-23FAL-Split-Bootcut-Sweatpant-color-Heather-Grey_41510.jpg?v=1697580909&width=400
High Rise Legging in Melt,"Rs. 8,400.00",CARBON38,Lavender Blue,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD165-SILVPN-23FAL-High-Rise-Full-Length-Legging-in-Melt-color-Silverpine_1442.jpg?v=1689884407&width=400
Split Bootcut Legging in Melt,"Rs. 9,200.00",CARBON38,Silverpine,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD163-SILVPN-23FAL-Split-Bootcut-Legging-in-Melt-color-Silverpine_1544.jpg?v=1700078609&width=400
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD273-CARIB-23FAL-One-Shoulder-Convertible-Bra-Top-color-Caribou_44398_8d41985c-f966-4caf-b54b-59ec91840238.jpg?v=1709326837&width=400
Wide Scoop Bra Tank in Melt,"Rs. 9,000.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD640-CARIB-23FAL-Wide-Scoop-Bra-Tank-color-Caribou_44513_3bfb4df2-6df8-4b6c-9805-28bebaa9bebd.jpg?v=1709325683&width=400
Action Bra 2.0 in Takara Shine,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-CRB20172-OLVE-23HOL-Action-Bra-20-in-Takara-Shine-color-Core-olive_2668.jpg?v=1702413123&width=400
High Rise 7/8 Legging in Leopard Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB19216-LEOBLK-high-rise-7-8-legging-in-leopard-takara-shine-Color-BLACK_0205.jpg?v=1690305747&width=400
Front Twist Tank,"Rs. 6,300.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD6053-BLK-23SM-Front-Twist-Tank-color-Black_25443.jpg?v=1700078570&width=400
Raglan Zip Pullover,"Rs. 13,100.00",CARBON38,Island Fossil,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD6029-ISLFSL-23FAL-Raglan-Zip-Pullover-color-Island-Fossil_42439.jpg?v=1692656346&width=400
Cable Knit Cardigan,"Rs. 12,300.00",CARBON38,Mushroom,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-CRB31272-BRWN-22HOL-CableKnitCardigan-color-Mushroom3136copy.jpg?v=1701384232&width=400
Foil Legging in Melt,"Rs. 14,500.00",CARBON38,Oatmeal Heather with Rose Gold Foil,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD192-NUDE-23HOL-Foil-Legging-in-Melt-color-Oatmeal-Heather-with-Rose-Gold-foil_17286.jpg?v=1700514015&width=400
