title,price,brand,colortitle,sizes
Cut Out Short Ribbed Onesie,"Rs. 5,000.00",CARBON38,Dark Teal,"XXS,XS,S,M,L,XL,XXL"
Tuxedo Mock Neck Top,"Rs. 10,800.00",CARBON38,Black,"XS,S,M,L,XL"
Action Bra 2.0 in Takara Shine,"Rs. 6,900.00",CARBON38,Lazuli Blue,"XS,S,M,L,XL"
One Piece Swimsuit,"Rs. 13,100.00",CARBON38,Black,"XS,S,M,L,XL"
Zip Long Sleeve Run Top,"Rs. 10,700.00",CARBON38,Charcoal Heather,"XS,S,M,L,XL"
Ombre French Terry Half Zip / Cactus,"Rs. 11,500.00",CARBON38,Caramel Cafe to Rose Cloud,"XS,S,M,L,XL"
SEAMED BRA,"Rs. 6,900.00",CARBON38,NAVY MELT/BLACK RIB,"XS,S,M,L,XL"
Cut Out Halter Neck Ribbed Cami,"Rs. 4,100.00",CARBON38,Dark Teal,"XXS,XS,S,M,L,XL,XXL"
One Piece Swimsuit,"Rs. 13,100.00",CARBON38,Black,"XS,S,M,L,XL"
Short Sleeve Pocket Tee,"Rs. 6,100.00",CARBON38,Pickled Beet,"XS,S,M,L,XL"
Ombre French Terry Half Zip // Horseshoe,"Rs. 11,500.00",CARBON38,Merlot to Magenta Haze,"XS,S,M,L,XL"
Blazer Puffer,"Rs. 23,100.00",CARBON38,Black,"XS,S,M,L,XL"
Blazer Puffer,"Rs. 23,100.00",CARBON38,Black,"XS,S,M,L,XL"
Sleeveless Wrap Top,"Rs. 2,800.00",CARBON38,Confetto,"XS,S,M,L,XL"
Carmen Knit,"Rs. 10,700.00",VARLEY,Cocoa Shell,"XS,S,M,L,XL"
Wrap Neck Tank,"Rs. 8,400.00",CARBON38,White,"XS,S,M,L,XL"
Macrame Tunic Dress,"Rs. 23,100.00",CARBON38,Merlot,"XS/S,M/L"
Spacedye Slim Racerback Cropped Tank,"From Rs. 5,300.00",BEYOND YOGA,Darkest Night,"XXS,XS,S,M,L,XL,XXL"
Action Bra 2.0 in Takara Shine,"Rs. 6,900.00",CARBON38,Lazuli Blue,"XXS,XS,S,M,L,XL,XXL"
Golf Short,"Rs. 5,400.00",CARBON38,Ponderosa Pine,"XS,S,M,L,XL"
Mentone Knit,"Rs. 11,500.00",VARLEY,Pale Mauve,"XS,S,M,L,XL"
Long Sleeve Turtleneck Pickleball Dress,"Rs. 17,800.00",NORMA KAMALI,Black,"XS,S,M,L,XL"
Donna Sweater,"Rs. 17,800.00",SER.O.YA,Winter White,"XS,S,M,L,XL"
The Travel Sweater,"Rs. 15,400.00",CARBON38,Multi,"XS,S,M,L,XL"
Jogger in Melt,"Rs. 9,200.00",CARBON38,Silversage,"XS,S,M,L,XL"
Let's Move Kellam Bra,"Rs. 5,500.00",VARLEY,LIGHT TAN ANIMAL,"XS,S,M,L"
Joyce-Z,"Rs. 32,600.00",MACKAGE,Cream,"XS,S,M,L,XL"
SINGLE BREASTED STRAIGHT FIT JACKET,"Rs. 27,200.00",NORMA KAMALI,STUDS,"XS,S,M,L"
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
V-Neck Longline Bra in Melt,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL"
Strappy Tank in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
One Shoulder Convertible Tank in Melt,"Rs. 9,900.00",CARBON38,Leopard Print,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 10,800.00",CARBON38,Black,"XS,S,M,L,XL"
Wide Scoop Bra Tank in Melt,"Rs. 9,000.00",CARBON38,White,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38,White,"XS,S,M,L,XL"
Mesh Pleated Skirt,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL"
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL"
Jogger in Melt,"Rs. 10,800.00",CARBON38,BLACK,"XS,S,M,L,XL"
High Rise 7/8 Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Action Bra 2.0 in Takara Shine,"Rs. 8,100.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
High Rise Full-Length Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Mesh Pleated Skirt,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL"
